Fund,Department,BCL Code,BCL Name,BCL Purpose,2014 Expenditure Allowance 
General Subfund,Civil Service Commissions,V1CIV,Civil Service Commissions,"The purpose of the Civil Service Commissions Budget Control Level is to provide administrative support to the Public Safety Civil Service Commission (PSCSC) and the Civil Service Commission (CSC). The PSCSC provides sworn police and uniformed fire employees with a quasi-judicial process for hearings on appeals concerning disciplinary actions, examination and testing, and other related issues. The CSC directs the civil service system for all other employees of the City. Itinvestigates allegations of political patronage so the City's hiring process conforms to the merit system set forth in the City Charter. These commissions will at times improve the City personnel system by developing legislation for the Mayor and City Council.",385887.00
General Subfund,Department of Neighborhoods,I3100,Director's Office,"The purpose of the Director's Office Budget Control Level is to provide executive leadership, communications, and operational support for the entire department. ",485705.00
General Subfund,Department of Neighborhoods,I3200,Internal Operations,"The purpose of the Internal Operations Budget Control Level is to provide financial, human resources, facility, administrative, and information technology services to the Department's employees to serve customers efficiently and effectively.",1426675.00
General Subfund,Department of Neighborhoods,I3300,Community Building,"The purpose of the Community Building Budget Control Level is to deliver technical assistance, support services, and programs in neighborhoods to strengthen local communities, engage residents in neighborhood improvement, leverage resources, and complete neighborhood-initiated projects.",3458080.00
General Subfund,Department of Neighborhoods,I4100,Youth Violence Prevention,The purpose of the Youth Violence Prevention Budget Control Level is to reduce juvenile violent crimes.,5631045.00
General Subfund,Ethics and Elections Commission,V1T00,Ethics and Elections,"The purpose of the Ethics and Elections Budget Control Level is threefold: 1) to audit, investigate, and conduct hearings regarding non-compliance with, or violations of, Commission-administered ordinances; 2) to advise all City officials and employees of their obligations under Commission-administered ordinances; and 3) to publish and broadly distribute information about the City's ethical standards, City election campaigns, campaign financial disclosure statements, and lobbyist disclosure statements.",782800.00
General Subfund,Executive,CZ000,City Budget Office,"The purpose of the City Budget Office Budget Control Level is to develop and monitor the budget, carrying out budget-related functions, oversee financial policies and plans, and provide financial and other strategic analysis.",4206264.00
General Subfund,Executive,VJ100,Jail Services,"The purpose of the Jail Services Budget Control Level is to provide for the booking, housing, transporting, and guarding of City inmates. The jail population, for which the City pays, are adults charged with or convicted of misdemeanor crimes alleged to have been committed within the Seattle city limits.",16702137.00
General Subfund,Executive,VJ500,Indigent Defense Services,"The purpose of the Indigent Defense Services Budget Control Level is to secure legal defense services, as required by state law, for indigent people facing criminal charges in Seattle Municipal Court.",6533471.00
General Subfund,Executive,X1000,Office of Sustainability and Environment,"The purpose of the Office of Sustainability and Environment Budget Control Level is to develop, communicate, implement, and lead the City's Climate Protection and Green Seattle initiatives.",2092173.00
General Subfund,Executive,X1A00,Office of the Mayor,"The purpose of the Mayor's Office Budget Control Level is to provide honest, accessible leadership to residents, employees, and regional neighbors of the City of Seattle that is clear and responsible in an environment that encourages ideas, civic discourse, and inclusion for the entirety of the City's diverse population, creating an even better place to live, learn, work, and play.",3758088.00
General Subfund,Executive,X1D00,Office of Economic Development,"The purpose of the Office of Economic Development Budget Control Level is to provide vital services to individual businesses and economic development leadership to support a strong local economy, thriving neighborhood business districts, and broadly-shared prosperity.",6230049.00
General Subfund,Executive,X1G00,Intergovernmental Relations,"The purpose of the Intergovernmental Relations Budget Control Level is to promote and protect the City's federal, state, regional, and international interests by providing strategic advice, representation, and advocacy to, and on behalf of, City elected officials on a variety of issues. These include: federal and state executive and legislative actions; issues and events relating to the City's international and tribal relations; and jurisdictional issues involving King County, suburban cities, and regional governmental organizations.",2089084.00
General Subfund,Executive,X1N00,Office of Immigrant and Refugee Affairs,"The purpose of the Office of Immigrant and Refugee Affairs Budget Control Level is to provide services to facilitate the successful integration of immigrants and refugees into Seattle's civic, economic, and cultural life, to recognize their diverse cultures and contributions to Seattle, and to advocate on behalf of immigrants and refugees.",367588.00
General Subfund,Executive,X1R00,Civil Rights,"The purpose of the Civil Rights Budget Control Level is to work toward eliminating discrimination in employment, housing, public accommodations, contracting, and lending in Seattle through enforcement, and policy and outreach activities. The Office enforces Seattle's paid sick leave ordinance. The Office seeks to encourage and promote equal access and opportunity, diverse participation, and social and economic equity. In addition, the Office is responsible for directing the Race and Social Justice Initiative, leading other City departments to design and implement programs that help eliminate institutionalized racism.",2885852.00
General Subfund,Finance General,2QA00,Appropriation to General Fund Subfunds and Special Funds,"The purpose of the Appropriation to General Fund Subfunds and Special Funds Budget Control Level is to appropriate General Subfund resources, several of which are based upon the performance of certain City revenues, to bond redemption or special purpose funds. These appropriations are implemented as operating transfers to the funds, subfunds, or accounts they support.",64354345.00
General Subfund,Finance General,2QD00,Reserves,"The purpose of the Reserves Budget Control Level is to provide appropriation authority to those programs for which there is no single appropriate managing department, or for which there is Council and/ or Mayor desire for additional budget oversight.",36256696.00
General Subfund,Finance General,2QE00,Support to Operating Funds,The purpose of the Support to Operating Funds Budget Control Level is to appropriate General Subfund resources to support the operating costs of line departments that have their own operating funds. These appropriations are implemented as operating transfers to the funds or subfunds they support.,305641502.00
General Subfund,Law Department,J1100,Administration,"The purpose of the Administration Budget Control Level is to provide the financial, technological, administrative and managerial support for the Department.",2012668.00
General Subfund,Law Department,J1300,Civil,"The purpose of the Civil Budget Control Level is to provide legal advice to the City's policy-makers, and to defend and represent the City, its employees, and officials before a variety of county, state, and federal courts and administrative bodies.",11733147.00
General Subfund,Law Department,J1500,Criminal,"The purpose of the Criminal Budget Control Level includes prosecuting ordinance violations and misdemeanor crimes, maintaining case information and preparing effective case files for the court appearances of prosecuting attorneys, and assisting and advocating for victims of domestic violence throughout the court process.",6736333.00
General Subfund,Law Department,J1700,Precinct Liaison Attorneys,"The purpose of the Precinct Liaison Program is to support a program where attorneys work in each of the City's five precincts, providing legal advice to police and other City departments. In helping to address a variety of neighborhood and community problems, the precinct liaison attorneys coordinate with the Civil and Criminal divisions with the goal of providing a consistent, thorough and effective approach.",543410.00
General Subfund,Legislative Department,G1100,Legislative Department,"The purpose of the Legislative Department Budget Control Level is to set policy, enact City laws, approve the City's budget, provide oversight of City departments, and support the mission of the Department.",12558022.00
General Subfund,Office of City Auditor,VG000,Office of City Auditor,"The purpose of the Office of City Auditor is to provide unbiased analyses and objective recommendations to assist the City in using public resources more equitably, efficiently, and effectively in delivering services to Seattle residents.",1461132.00
General Subfund,Office of Hearing Examiner,V1X00,Office of Hearing Examiner,The purpose of the Office of Hearing Examiner Budget Control Level is to conduct fair and impartial hearings in all subject areas where the Seattle Municipal Code grants authority to do so (there are currently more than 50 subject areas) and to issue decisions and recommendations consistent with applicable ordinances.,656328.00
General Subfund,Personnel Department,N1000,Employment and Training,"The purpose of the Employment and Training Budget Control Level is to provide staffing services, employee-development opportunities, mediation, and technical assistance to all City departments. This Budget Control Level includes the Police and Fire Exams, Employment, Supported Employment, Equal Employment Opportunity, Alternative Dispute Resolution, and Career Quest units.",2890152.00
General Subfund,Personnel Department,N2000,Employee Health Services,"The purpose of the Employee Health Services Budget Control Level is to provide employee health care and other benefits, workers' compensation benefits, and safety services to maintain and promote employee health and productivity. This program also includes administration of the Seattle Voluntary Deferred Compensation Plan and Trust.",2929443.00
General Subfund,Personnel Department,N3000,Citywide Personnel Services,"The purpose of the Citywide Personnel Services Budget Control Level is to establish citywide personnel rules and provide human resources systems, policy advice, information management, finance and accounting services, contingent work force oversight, and expert assistance to departments, policymakers, and employees. This program includes Policy Development, Information Management, Finance and Accounting, Temporary Employment Services, and other internal support services.",2855226.00
General Subfund,Personnel Department,N4000,City/ Union Relations and Class/ Comp Services,"The purpose of the City/ Union Relations and Classification/ Compensation Services Budget Control Level is to support the City's efforts to fairly manage and compensate its diverse work force. City/ Union Relations staff provide technical and professional labor-relations services to policymakers and management staff of all City departments. The Class/ Comp staff develop personnel rules, pay programs, perform compensation analysis, and provide classification services and organizational consultation to all City departments.",3496441.00
General Subfund,Seattle Fire Department,F1000,Administration,The purpose of the Administration Budget Control Level is to provide management information and to allocate and manage available resources needed to achieve the Department's mission.,7606981.00
General Subfund,Seattle Police Department,P6600,East Precinct,"The purpose of the East Precinct Budget Control Level is to provide the full range of public safety and order maintenance services to residents of, and visitors to, the East Precinct, to promote safety in their homes, schools, businesses, and the community at large.",23270580.00
General Subfund,Seattle Fire Department,F2000,Resource Management,"The purpose of the Resource Management Budget Control Level (formerly known as Risk Management) is to recruit and train uniformed staff, reduce injuries by identifying and changing practices that place firefighters at greater risk, provide services to enhance firefighter health and wellness, and provide communication services and logistical support.",11230855.00
General Subfund,Seattle Fire Department,F3000,Operations,"The purpose of the Operations Budget Control Level is to provide emergency and disaster response capabilities for fire suppression, emergency medical needs, hazardous materials, weapons of mass destruction, and search and rescue.",146793970.00
General Subfund,Seattle Fire Department,F5000,Fire Prevention,The purpose of the Fire Prevention Budget Control Level is to provide Fire Code enforcement to help prevent injury and loss from fire and other hazards.,7419132.00
General Subfund,Seattle Fire Department,F6000,Grants & Reimbursables,"The purpose of the Grants & Reimbursables Budget Control Level (BCL) is to improve financial management of grant and reimbursable funds. In the annual budget process, costs for staff and equipment are fully reflected in the BCLs in which they reside; for example, in the Operations BCL. When reimbursable expenditures are made, the expenses are moved into this BCL to separate reimbursable and non-reimbursable costs.",411686.00
